,number of bedrooms,number of bathrooms,living area,lot area,number of floors,waterfront present,number of views,condition of the house,grade of the house,Area of the house(excluding basement),Area of the basement,living_area_renov,lot_area_renov,Number of schools nearby,Distance from the airport,Price,Property Age,Renovation Age
30,5,6.0,5490,19897,2.0,0,0,3,12,5490,0,2910,17600,2,50,3640000,11,0
31,4,3.25,5450,37058,1.5,0,0,5,9,5450,0,2800,35716,1,60,610000,32,0
32,5,5.0,5450,20412,2.0,0,0,3,11,5450,0,3160,17825,1,69,3420000,2,0
33,4,3.5,5440,9050,2.0,0,0,3,12,5440,0,4830,41313,1,72,1770000,26,0
34,4,3.0,5430,108900,2.0,0,0,4,10,5430,0,3170,107076,3,76,1360000,29,0
35,4,5.5,6550,217374,1.0,0,0,3,11,5400,1150,4110,50378,2,67,1500000,10,0
36,3,3.75,5400,24740,2.0,0,0,3,11,5400,0,1690,20000,2,80,1210000,19,0
37,4,3.25,5370,20388,2.0,0,4,4,11,5370,0,2770,22270,3,77,1350000,26,0
38,6,4.25,6980,15682,3.0,0,4,4,12,5330,1650,3930,18367,3,50,3100000,17,0
39,4,4.0,5320,20041,2.0,0,0,3,11,5320,0,4640,17268,2,52,1060000,13,0
40,4,4.75,5310,57346,2.0,0,0,4,11,5310,0,4180,47443,3,66,1370000,27,0
41,4,5.25,5240,320917,2.0,0,2,3,10,5240,0,1930,68824,1,63,1860000,10,0
42,6,5.0,7100,18200,2.5,0,0,3,13,5240,1860,3130,6477,1,63,3200000,83,14
43,5,4.5,5220,67319,2.0,0,0,3,11,5220,0,4190,40609,1,66,1570000,15,0
44,5,4.0,5190,14600,2.0,0,1,3,11,5190,0,3840,19250,3,67,2900000,3,0
45,5,5.5,5190,12637,2.0,0,2,3,11,5190,0,3840,12637,3,52,925000,15,0
46,4,5.25,6500,14986,2.0,0,0,3,11,5180,1320,2270,8119,1,73,2460000,15,0
47,6,3.5,6563,32670,2.0,0,0,3,10,5153,1410,2610,22651,2,51,1300000,14,0
48,6,4.25,5480,189050,2.0,0,0,4,10,5140,340,2470,10429,1,59,800000,25,0
49,5,4.5,5130,43123,2.0,0,0,3,11,5130,0,4670,43560,1,51,1600000,20,0
50,5,5.25,5090,23669,2.0,0,0,3,12,5090,0,3830,22605,1,50,3100000,10,0
51,7,6.75,7480,41664,2.0,0,2,3,11,5080,2400,2810,33190,2,66,800000,63,0
52,4,3.25,5080,27755,2.0,0,0,3,11,5080,0,4730,22326,2,79,1900000,15,0
53,4,3.75,5070,60123,2.0,0,0,3,11,5070,0,4920,101930,2,53,1100000,16,0
54,4,5.5,5060,10320,2.0,0,0,3,11,5060,0,3010,10080,3,79,2150000,8,0
55,5,3.5,5050,16500,2.0,0,2,3,11,5050,0,4570,16500,3,50,1030000,15,0
56,5,4.5,6200,23373,3.0,0,1,4,11,5050,1150,3700,14486,2,64,1960000,28,0
57,5,4.75,5410,13431,2.0,0,0,4,10,5050,360,3750,11596,3,69,2540000,75,0
58,4,4.25,5020,5432,2.0,0,0,3,12,5020,0,4930,26319,1,72,1500000,18,0
59,7,3.0,5350,14400,2.5,0,0,4,10,5020,330,3050,7469,1,75,2890000,106,0
60,4,3.25,5010,34460,2.0,0,0,3,12,5010,0,4760,34460,3,50,1470000,28,0
61,5,5.0,5000,32909,2.0,0,0,3,10,5000,0,3030,12601,3,61,1250000,16,0
62,4,3.0,5940,11533,2.0,0,4,3,11,4950,990,4240,12813,2,64,1150000,12,0
63,5,3.25,5210,35765,2.5,0,4,5,10,4940,270,2590,10250,1,59,2200000,105,0
64,4,4.25,4930,25714,2.0,0,0,3,12,4930,0,3620,23035,1,71,835000,11,0
65,7,5.5,6630,13782,2.0,0,0,3,10,4930,1700,4470,8639,2,64,1240000,12,0
66,3,4.25,5510,35000,2.0,0,4,3,13,4910,600,3430,45302,3,70,3800000,19,0
67,4,4.25,5860,52889,2.0,0,0,4,10,4910,950,3320,39066,2,72,1160000,20,0
68,4,4.0,6330,13296,2.0,0,2,3,13,4900,1430,2200,9196,2,64,2390000,16,0
69,4,3.25,4890,13402,2.0,0,0,3,13,4890,0,5790,13539,3,51,1780000,12,0
70,4,3.5,4860,23885,2.0,0,0,3,12,4860,0,3580,16054,2,65,2950000,20,0
71,5,4.0,4850,36450,2.0,0,0,3,10,4850,0,3850,35325,1,79,975000,39,0
72,5,4.5,4850,40902,2.0,0,0,3,10,4850,0,1640,13503,1,79,569950,15,0
73,4,3.25,4830,22257,2.0,1,4,4,11,4830,0,3820,25582,1,70,3640000,26,0
74,6,4.25,6900,244716,2.0,0,0,4,9,4820,2080,4170,266587,1,58,1140000,14,0
75,5,6.75,9640,13068,1.0,1,4,3,12,4820,4820,3270,10454,1,69,4670000,33,7
76,4,4.0,4810,18851,2.0,0,3,3,11,4810,0,3970,19929,2,54,3200000,9,0
77,4,3.25,4800,12727,2.0,0,0,3,10,4800,0,4750,13602,1,58,1080000,5,0
78,4,4.75,4790,25412,2.0,0,0,3,12,4790,0,3830,16314,2,71,1680000,17,0
79,5,3.5,5960,13703,2.0,0,2,3,10,4770,1190,2810,17320,2,57,1360000,32,0
80,7,4.5,6210,8856,2.5,0,2,5,11,4760,1450,2940,5400,1,64,3200000,106,0
81,6,3.25,4750,248600,2.0,0,0,4,8,4750,0,2230,311610,1,61,487000,69,0
82,4,3.25,4750,62365,2.0,0,0,3,11,4750,0,3300,31866,1,74,1120000,28,0
83,4,3.0,4750,21701,1.5,0,0,5,11,4750,0,3120,18551,2,58,2180000,40,0
84,5,3.5,7350,12231,2.0,0,4,3,11,4750,2600,5380,12587,1,52,1110000,15,0
85,4,3.75,4740,126759,2.0,0,0,4,10,4740,0,3060,118047,3,53,1050000,25,0
86,4,3.5,4740,172497,2.0,0,0,3,11,4740,0,2120,49658,1,53,1200000,13,0
87,4,3.25,4740,49091,2.0,0,0,3,11,4740,0,4800,42387,2,66,1150000,26,0
88,4,3.25,4670,51836,2.0,0,0,4,12,4670,0,4230,41075,1,58,1580000,28,0
89,4,5.25,4670,43950,2.0,0,0,3,12,4670,0,4900,35000,3,72,1420000,27,0
90,5,3.5,5850,22885,2.0,0,2,4,11,4670,1180,3240,19020,3,71,1700000,38,0
91,5,2.5,4670,15857,2.0,0,0,3,11,4670,0,3810,14824,3,54,1000000,18,0
92,7,4.25,4670,23115,2.0,0,2,3,11,4670,0,3240,13912,3,70,2450000,24,0
93,4,3.5,4660,17398,2.0,0,2,3,11,4660,0,5080,24913,3,50,1280000,13,0
94,3,3.5,4660,21164,2.0,1,4,3,12,4660,0,3140,24274,3,67,1640000,41,26
95,4,2.5,4620,20793,2.0,0,0,4,11,4620,0,3640,20793,2,59,575000,25,0
96,3,3.25,4610,81935,2.0,0,0,4,9,4610,0,2900,43500,1,51,750000,32,0
97,5,4.75,6240,47480,1.0,0,3,3,11,4610,1630,4170,17668,2,73,2950000,13,0
98,5,4.25,4610,13252,2.0,0,4,3,11,4610,0,4400,15154,2,68,1170000,12,0
99,4,3.5,4610,12500,2.0,0,2,3,11,4610,0,2340,11538,2,67,1650000,13,0
100,4,2.5,4600,67369,2.0,0,0,3,10,4600,0,4600,67369,1,73,800000,26,0
101,5,4.0,4590,35046,2.0,0,0,3,10,4590,0,3350,35857,3,62,1720000,8,0
102,5,3.5,5470,35071,2.0,0,0,3,11,4590,880,3600,35074,1,50,975000,40,0
103,5,4.5,4590,14685,2.0,0,0,3,10,4590,0,3030,9486,3,59,1710000,7,0
104,5,4.0,4580,4443,3.0,1,4,3,10,4580,0,2710,4443,2,69,2000000,12,0
105,4,2.5,4570,74487,2.0,0,4,5,12,4570,0,3810,74487,3,63,1580000,68,31
106,4,2.5,5300,26211,2.0,1,2,2,10,4570,730,3890,19281,1,79,2560000,93,0
107,4,2.5,4570,16015,2.0,0,2,3,11,4570,0,4490,17668,1,52,1060000,26,0
108,5,2.5,4570,19252,2.0,0,0,5,10,4570,0,3180,13314,1,65,1480000,51,0
109,3,2.5,4570,10615,2.0,0,0,3,12,4570,0,3860,11576,2,71,1040000,25,0
110,5,4.75,6390,13180,2.0,0,0,3,10,4560,1830,4010,8137,3,76,2470000,76,0
111,3,3.25,5290,224442,2.0,0,0,4,11,4540,750,3750,84936,2,63,1690000,28,0
112,5,4.0,4510,15175,2.0,0,0,3,10,4510,0,3510,13500,1,65,1870000,47,14
113,4,4.5,4510,12873,2.0,0,2,3,12,4510,0,2200,8528,1,64,1820000,18,0
114,3,3.5,4500,21870,2.0,0,0,3,10,4500,0,4670,23058,3,67,785000,12,0
115,4,4.0,4500,11795,2.0,0,0,3,12,4500,0,3930,11576,3,74,1520000,25,0
116,3,3.5,4490,56609,2.0,1,4,3,12,4490,0,2710,51330,3,79,3120000,23,0
117,4,3.75,4490,34982,2.0,0,0,3,12,4490,0,4470,37525,1,51,1680000,18,0
118,5,5.0,5774,31675,1.0,0,2,3,11,4490,1284,3260,13200,3,54,740000,32,0
119,4,3.0,4480,42717,2.0,0,0,3,9,4480,0,3140,41632,1,56,835000,29,0
120,5,3.25,4475,6642,2.0,0,0,3,9,4475,0,3720,6633,1,52,1040000,2,0
121,4,2.25,4470,86225,2.0,0,0,3,10,4470,0,3850,97049,1,80,885000,25,0
122,4,2.25,4470,60373,2.0,0,0,3,11,4470,0,3210,40450,3,67,1120000,28,0
123,5,2.5,4470,35124,2.5,0,0,3,11,4470,0,4050,34118,3,51,831500,32,0
124,5,3.75,4470,8088,2.0,0,0,3,11,4470,0,2780,8964,2,75,1540000,8,0
125,4,4.0,4460,103382,2.0,0,0,3,11,4460,0,3470,88519,3,77,1150000,15,0
126,3,3.25,4460,51177,2.0,0,0,3,9,4460,0,2670,38925,3,69,739500,11,0
127,3,2.5,4460,26027,2.0,0,0,3,12,4460,0,3770,26027,2,56,1550000,24,0
128,4,3.5,4460,16271,2.0,0,2,3,11,4460,0,4540,17122,1,74,1060000,15,0
129,5,3.5,5230,8960,2.0,0,0,3,11,4450,780,2310,9603,3,70,1990000,2,0
130,5,4.75,6200,13873,2.0,1,4,4,11,4440,1760,2940,13525,1,75,3300000,27,0
131,3,3.75,6030,39317,2.0,0,0,3,11,4440,1590,4040,12333,3,69,1830000,25,0
132,5,4.5,4440,5562,2.0,0,0,3,10,4440,0,2720,10080,3,74,600000,4,0
133,4,3.5,4440,10660,2.0,0,0,3,11,4440,0,4390,9976,3,57,1040000,13,0
134,4,3.25,4430,21000,2.0,0,0,3,10,4430,0,3930,20000,3,75,2750000,64,9
135,5,3.25,5790,12739,2.0,0,3,3,10,4430,1360,5790,13928,3,73,1750000,2,0
136,5,3.25,5790,13726,2.0,0,3,3,10,4430,1360,5790,13726,2,73,1240000,2,0
137,5,4.0,4430,9000,2.0,0,0,3,10,4430,0,2470,9490,2,56,2450000,3,0
138,6,4.5,5480,10800,2.0,0,3,4,9,4430,1050,2970,7200,3,77,2400000,17,0
139,4,4.0,4420,16526,2.0,0,0,3,11,4420,0,3510,50447,1,59,1330000,3,0
140,5,3.5,4410,57063,2.0,0,0,4,9,4410,0,2900,50529,3,80,1100000,26,0
141,4,3.5,4410,36200,2.0,0,0,3,11,4410,0,4760,35860,2,75,1320000,27,0
142,5,4.0,4410,14380,2.0,0,0,3,11,4410,0,2720,11454,2,69,1240000,10,0
143,4,3.75,4410,9231,3.0,0,3,3,11,4410,0,2160,6600,2,74,1440000,15,0
144,4,3.25,4400,186846,2.0,0,0,4,9,4400,0,2280,186846,1,69,687000,23,0
145,4,3.25,4400,8400,2.0,0,0,3,11,4400,0,4440,15523,2,71,1050000,13,0
146,4,3.25,4400,262666,2.0,0,0,3,11,4400,0,3240,9791,1,71,1150000,28,0
147,4,2.5,5760,32033,2.0,0,4,4,12,4390,1370,3420,28475,3,64,2880000,22,0
148,5,3.25,4390,11250,2.0,0,0,3,10,4390,0,2160,9249,2,61,1510000,9,0
149,4,3.5,4380,74052,1.0,0,0,3,11,4380,0,5170,62291,2,55,1300000,15,0
150,3,4.0,4380,42769,2.0,0,0,5,11,4380,0,3630,35425,3,60,1050000,33,0
151,4,3.0,4370,217882,2.0,0,0,3,10,4370,0,2430,35096,3,58,897500,32,0
152,4,3.5,4370,18361,2.0,0,0,3,11,4370,0,4190,13641,2,71,1150000,15,0
153,4,3.5,4370,10860,2.0,0,0,3,11,4370,0,3560,8070,3,77,1030000,8,0
154,4,3.75,5150,453895,2.0,0,3,3,11,4360,790,2500,215186,2,71,2140000,19,0
155,4,3.5,4360,24603,2.0,0,0,3,12,4360,0,4770,27521,3,75,1450000,18,0
156,4,4.0,4360,12081,2.0,0,0,3,10,4360,0,2180,10800,2,74,1980000,9,0
157,4,4.0,5635,9695,2.0,0,3,3,10,4360,1275,3726,9765,3,78,950000,5,0
158,2,1.75,6840,10000,2.5,1,4,3,11,4350,2490,3120,12300,3,61,3280000,15,0
159,4,3.75,4350,7965,2.0,0,0,3,10,4350,0,2190,8557,3,74,2070000,3,0
160,5,4.5,4350,13405,2.0,0,0,3,11,4350,0,3990,7208,1,50,1380000,2,0
161,4,3.5,4340,217800,2.0,0,0,3,11,4340,0,3430,219106,3,56,1190000,13,0
162,4,2.5,4340,141570,2.5,0,0,3,11,4340,0,2720,97138,1,73,1090000,24,0
163,8,6.0,4340,9415,2.0,0,0,3,8,4340,0,2050,9100,3,69,2150000,49,0
164,4,3.25,4330,26162,2.0,0,0,3,11,4330,0,5110,26319,3,63,1210000,19,0
165,5,5.5,7050,42840,1.0,0,2,4,13,4320,2730,5070,20570,2,75,3800000,38,0
166,5,3.75,4320,39094,2.0,1,4,3,8,4320,0,1920,7750,1,73,1800000,78,0
167,4,5.5,6930,45100,1.0,0,0,4,11,4310,2620,2560,37766,3,53,2530000,66,25
168,4,3.5,4300,108865,2.0,0,0,3,11,4300,0,4650,107498,3,52,1450000,2,0
169,4,4.5,4300,19844,2.0,0,0,3,11,4300,0,3070,19845,2,57,2500000,31,17
170,5,4.5,4300,12250,2.0,0,0,3,10,4300,0,3950,12250,1,51,975000,12,0
171,4,2.5,4290,175421,2.0,0,0,3,10,4290,0,3370,63162,3,61,792500,12,0
172,7,4.5,4290,37607,1.5,0,0,5,10,4290,0,2810,40510,3,71,840000,34,0
173,5,3.0,4290,20445,2.0,0,0,4,11,4290,0,3620,22325,2,66,2680000,31,0
174,4,4.25,4285,9345,2.0,0,0,3,10,4285,0,1570,8994,1,53,1890000,3,0
175,4,4.0,4920,50621,2.0,0,0,3,10,4280,640,4920,74052,3,63,1410000,4,0
176,4,2.5,5730,44947,2.0,0,4,3,11,4280,1450,3310,17628,1,72,1230000,25,0
177,4,3.25,4280,20296,2.0,0,0,4,11,4280,0,3420,16351,1,60,1930000,32,0
178,4,4.25,5180,13077,2.0,0,3,3,12,4280,900,5030,15069,2,68,1490000,18,0
179,4,4.25,5540,15408,2.0,0,1,3,11,4280,1260,3570,14750,2,64,2580000,10,0
180,5,4.5,4280,8465,2.0,0,0,3,10,4280,0,2990,11067,2,72,995500,2,0
181,4,3.5,4280,9583,2.0,0,0,3,11,4280,0,2360,10031,1,55,1600000,11,0
182,5,3.5,4280,6530,2.0,0,3,3,10,4280,0,3960,6863,1,54,1140000,2,0
183,4,2.75,4270,5432,2.0,0,0,3,11,4270,0,3860,20723,2,62,1610000,20,0
184,4,3.5,4270,12305,2.0,0,2,3,10,4270,0,4190,13137,2,76,1160000,22,0
185,4,3.5,4730,13586,1.5,0,0,5,10,4270,460,3710,8828,1,64,2450000,81,0
186,4,3.5,4270,117176,2.0,0,0,3,9,4270,0,2610,5251,1,72,997950,8,0
187,4,3.0,4260,18000,2.0,0,2,3,11,4260,0,3540,17015,2,51,2000000,16,0
188,4,3.0,4260,18687,2.0,0,0,3,11,4260,0,3490,16772,1,78,1000000,20,0
189,5,4.75,5780,17004,2.0,0,0,3,11,4260,1520,3460,10855,2,55,2320000,10,0
190,4,3.75,4260,9800,2.0,0,0,3,10,4260,0,1950,8970,2,65,1070000,8,0
191,5,3.25,4260,7861,2.0,0,0,3,10,4260,0,4020,7528,1,64,994000,11,0
192,4,3.25,4250,8570,2.0,0,0,3,9,4250,0,2830,12821,3,61,2300000,12,0
193,4,2.5,4240,43995,2.0,0,0,3,10,4240,0,3720,59522,1,53,1160000,27,0
194,4,3.25,4240,11189,2.0,0,2,3,10,4240,0,3390,12540,2,69,1660000,10,0
195,4,4.5,4240,13162,2.0,0,0,3,10,4240,0,3010,12163,2,77,2190000,12,0
196,5,3.25,4240,9588,2.0,0,0,3,9,4240,0,4080,8425,1,55,1050000,2,0
197,4,2.25,4230,37769,2.0,0,0,3,11,4230,0,3890,37034,3,68,985000,27,0
198,4,2.75,4230,31747,2.0,0,0,4,10,4230,0,4080,35576,2,61,879000,31,0
199,4,3.5,4230,20377,2.0,0,0,3,11,4230,0,3980,20489,1,80,2080000,19,0
200,5,4.5,4230,9701,2.0,0,0,3,10,4230,0,4130,12253,2,58,935000,17,0
201,4,4.5,4225,284011,2.0,0,0,4,11,4225,0,2870,14576,1,68,1010000,31,0
202,4,3.5,4220,196817,2.0,0,0,3,10,4220,0,2500,195395,1,76,799950,23,0
203,5,3.75,4220,15959,2.0,0,0,3,11,4220,0,4630,16531,3,75,1170000,12,0
204,5,3.5,4210,17258,2.0,0,3,3,12,4210,0,4630,17909,1,62,1370000,21,0
205,4,3.5,4210,10308,2.0,0,0,3,10,4210,0,3860,10200,2,71,1150000,10,0
206,4,3.5,4210,9414,2.0,0,0,3,9,4210,0,3950,8880,2,67,884744,15,0
207,4,2.5,4200,35267,2.0,0,0,3,11,4200,0,3540,22234,1,76,1080000,26,0
208,4,3.5,4540,19767,2.0,0,0,3,11,4200,340,3990,12881,3,51,1150000,18,0
209,4,3.5,4190,15724,2.0,0,2,3,11,4190,0,3300,10113,3,50,1160000,22,0
210,3,2.5,4190,9624,2.0,0,0,3,10,4190,0,3650,8321,2,60,1150000,17,0
211,4,2.5,4190,7504,2.0,0,0,3,7,4190,0,2480,6727,1,73,460000,12,0
212,4,3.0,4180,35169,2.0,0,0,3,11,4180,0,3010,35190,1,66,550000,30,18
213,5,3.5,4180,17935,2.0,0,0,3,11,4180,0,2950,13760,1,54,1890000,12,0
214,5,3.0,4180,8561,2.0,0,0,3,7,4180,0,3425,6591,2,76,673200,13,0
215,5,4.0,4180,7232,2.0,0,0,3,9,4180,0,3570,6054,2,73,1040000,2,0
216,5,4.0,4180,5432,2.0,0,0,3,10,4180,0,1800,6052,1,77,1260000,2,0
217,5,3.5,4170,9090,2.0,0,0,3,10,4170,0,1930,13635,2,51,1450000,8,0
218,4,3.5,4560,41636,2.0,0,0,3,9,4170,390,2990,11381,3,59,1100000,21,0
219,4,3.5,4170,9748,2.0,0,0,3,11,4170,0,4560,10589,1,51,1200000,12,0
220,6,4.25,5720,10213,2.0,0,0,3,10,4170,1550,4300,10224,3,76,1330000,12,0
221,3,4.25,5150,7800,2.5,0,2,3,11,4170,980,4270,7800,3,66,2250000,62,0
222,4,3.25,4160,47480,2.0,0,0,3,10,4160,0,3400,40428,2,79,1050000,21,0
223,5,5.0,4930,14649,2.0,0,3,3,11,4160,770,3030,8479,1,77,1700000,16,0
224,4,4.0,6050,84942,2.5,0,2,3,9,4150,1900,2700,199504,1,78,930000,7,0
225,4,3.5,4150,49503,2.0,0,0,3,11,4150,0,3330,60137,1,54,1180000,13,0
226,5,2.5,4150,96574,2.0,0,0,3,10,4150,0,3320,40803,2,63,930800,28,0
227,5,4.25,4150,12015,2.0,0,0,3,10,4150,0,3230,27520,3,55,1210000,2,0
228,4,3.5,4150,16197,2.0,0,0,3,10,4150,0,3618,15210,2,62,550000,10,0
229,4,2.5,4150,8436,2.0,0,0,3,10,4150,0,4070,8438,1,56,969990,2,0
230,5,3.25,4150,7100,2.0,0,0,3,10,4150,0,3560,7214,3,67,929000,3,0
231,4,3.25,4140,46173,2.0,0,0,3,9,4140,0,2060,43103,1,56,810000,9,0
232,4,2.75,4140,24190,2.0,0,0,3,11,4140,0,3950,24190,3,56,657500,14,0
233,4,5.25,4140,14757,2.0,0,2,3,11,4140,0,4440,15523,1,68,1060000,11,0
234,4,3.5,4140,13392,2.0,0,0,3,11,4140,0,4140,11529,3,63,950000,16,0
235,5,3.25,5620,12672,2.0,0,0,4,11,4140,1480,4470,8050,2,63,2500000,100,0
236,5,3.5,4140,7642,2.0,0,0,3,8,4140,0,3330,6953,2,79,720000,13,0
237,4,3.75,4133,361548,2.0,0,0,3,11,4133,0,1970,291416,1,52,979500,16,0
238,4,3.5,4130,77832,2.0,0,2,3,10,4130,0,4130,87476,1,78,775000,5,0
239,4,3.25,4130,112521,2.0,0,0,3,11,4130,0,3140,26147,2,59,1900000,38,0
240,5,4.5,4130,10404,2.0,0,0,3,10,4130,0,3890,11531,1,53,998000,12,0
241,4,3.75,4130,12320,2.0,0,0,3,11,4130,0,3690,11227,3,79,1070000,15,0
242,4,4.0,5780,7173,2.0,0,0,3,11,4130,1650,3930,7994,2,57,2890000,8,0
243,5,3.25,4130,7197,2.0,0,0,3,10,4130,0,3730,7202,2,65,995000,4,0
244,4,3.0,4120,14021,2.0,0,0,3,11,4120,0,4390,14684,1,50,1300000,11,0
245,4,3.75,4120,8258,2.0,0,0,3,10,4120,0,3730,8332,3,62,949950,4,0
246,4,2.5,4120,22370,2.0,0,0,3,10,4120,0,3180,7257,1,69,863000,19,0
247,5,3.25,4115,7910,2.0,0,0,3,9,4115,0,3950,6765,1,75,988830,2,0
248,4,5.0,4110,43560,2.0,0,0,4,11,4110,0,3650,43995,1,50,1040000,38,0
249,4,3.25,4110,15488,2.0,0,2,3,11,4110,0,4190,14973,3,64,935000,21,0
250,3,2.5,4110,35741,2.0,0,0,3,7,4110,0,2710,8865,3,62,1030000,40,0
251,4,4.25,5660,193593,2.0,0,0,3,10,4100,1560,3620,207141,3,63,955000,15,0
252,4,3.75,4100,61419,2.0,0,0,3,9,4100,0,2010,32362,1,77,1350000,2,0
253,6,4.5,6040,219542,2.0,0,0,3,11,4100,1940,2010,32362,1,52,1150000,20,0
254,4,2.5,4260,36360,1.5,0,0,4,8,4100,160,2430,17888,3,75,635000,81,0
255,5,3.25,4100,7578,2.0,0,2,3,10,4100,0,3710,8156,1,76,890000,5,0
256,5,4.0,4100,8120,2.0,0,0,3,9,4100,0,4100,7625,1,65,950000,5,0
257,4,4.0,4090,51908,2.0,0,0,3,11,4090,0,4290,41655,3,70,1040000,25,0
258,5,4.0,5610,22529,2.0,0,0,3,11,4090,1520,3860,24751,2,77,995000,20,0
259,4,2.5,4090,11225,2.0,0,0,3,10,4090,0,3510,8762,2,69,885000,11,0
260,4,3.5,4083,68377,2.0,0,0,3,10,4083,0,2430,41382,3,80,637000,11,0
261,3,3.5,4080,217697,1.5,0,3,3,10,4080,0,2710,217790,3,76,900000,16,0
262,4,2.5,4080,18362,2.0,0,2,4,11,4080,0,4080,19991,2,54,2290000,33,0
263,4,3.5,4080,10666,2.0,0,0,3,9,4080,0,3920,8154,1,67,920000,11,0
264,5,6.0,6880,279968,2.0,0,3,3,12,4070,2810,4690,256803,1,73,1490000,9,0
265,4,2.5,4070,9870,2.0,0,0,3,10,4070,0,4070,102366,2,62,710000,18,0
266,4,2.75,4070,115434,2.0,0,0,3,9,4070,0,2970,95832,3,72,845000,14,0
267,4,2.5,4070,57587,2.0,0,0,3,10,4070,0,3890,35960,3,75,965000,27,0
268,3,3.5,4070,26000,2.0,0,0,3,11,4070,0,3770,26000,1,62,1480000,25,0
269,5,4.75,5180,17811,2.0,0,2,3,11,4070,1110,3960,15103,2,74,1080000,15,0
270,4,2.25,4070,23321,2.0,0,0,4,10,4070,0,2820,10871,3,78,993500,48,0
271,4,3.5,4065,18713,2.0,0,0,4,10,4065,0,3070,18713,3,55,1950000,29,0
272,4,3.25,4060,52707,2.0,0,0,4,9,4060,0,3100,50755,3,78,880000,20,0
273,4,3.25,4060,20822,2.0,0,0,3,10,4060,0,4170,23958,1,72,1180000,25,0
274,4,3.25,4060,13000,2.0,0,3,3,11,4060,0,3220,13800,2,51,1800000,16,0
275,4,3.75,4060,19290,2.0,0,0,3,10,4060,0,4020,13250,3,60,1020000,14,0
276,4,3.5,4060,9486,2.0,0,0,3,10,4060,0,2410,9486,1,68,1600000,11,0
277,5,3.25,4050,35600,2.0,0,0,3,12,4050,0,4770,33880,3,52,1010000,26,0
278,5,4.75,5990,10450,2.0,1,4,3,11,4050,1940,3330,14810,2,79,2200000,14,0
279,9,7.5,4050,6504,2.0,0,0,3,7,4050,0,1448,3866,1,55,450000,20,0
280,3,2.5,4040,147856,2.0,0,0,3,9,4040,0,3000,125452,3,73,760000,12,0
